no,name,price,location,link_product,link_image
33,"BRI Pondok Indah: tanah berikut bangunan yang berdiri diatasnya  sesuai  SHM  No.318/Cipayung, luas  96 m.",1011000000, Kota Tangerang Selatan,https://lelang.go.id/lot-lelang/detail/543961/BRI-Pondok-Indah-tanah-berikut-bangunan-yang-berdiri-diatasnya-sesuai-SHM-No318Cipayung-luas-96-m.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/07/6200df4f20b8d-24818Dvk-foto-543961048.jpg
34,"BNI Kanwil 15: Sebidang tanah berikut bangunan SHM No.398/Lengkong Karya, luas  660  m2",8187000000, Kota Tangerang Selatan,https://lelang.go.id/lot-lelang/detail/543920/BNI-Kanwil-15-Sebidang-tanah-berikut-bangunan-SHM-No398Lengkong-Karya-luas-660-m2.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/07/6200c291aade9-45180zQd-foto-543920028.jpg
35,PT. BRI (Persero) Tbk. KC Khusus: 44 kendaraan roda empat merk Nissan Livina 1.5 EL dijual dalam satu paket,4950000000, Kota Surabaya,https://lelang.go.id/lot-lelang/detail/543876/PT-BRI-Persero-Tbk-KC-Khusus-44-kendaraan-roda-empat-merk-Nissan-Livina-15-EL-dijual-dalam-satu-paket.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/07/6200c19a503c4-30794ID0-foto-543876mg7.jpg
36,1 paket barang inventaris kantor dalam kondisi apa adanya (KPPN Surabaya II),3019000, Kota Surabaya,https://lelang.go.id/lot-lelang/detail/543312/1-paket-barang-inventaris-kantor-dalam-kondisi-apa-adanya-KPPN-Surabaya-II.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fccca08d117-10229idV-foto-543312007.jpg
37,"Sebidang tanah & bangunan SHM No. 2171 luas 84 m2 terletak di Desa Petiken, Kec. Driyorejo, Kab. Gresik (BPD Jatim Syariah)",300000000, Kab. Gresik,https://lelang.go.id/lot-lelang/detail/543303/Sebidang-tanah-bangunan-SHM-No-2171-luas-84-m2-terletak-di-Desa-Petiken-Kec-Driyorejo-Kab-Gresik-BPD-Jatim-Syariah.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fcc9a781e36-90596n56-foto-543303011.jpg
38,"PT. BRI (Persero) Cab. Kisaran: n. Tanah luas 380 m2 dan bangunan (SHM No.882) di Desa Teladan Kec.Tinggi Raja, Kab.Asahan",115000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543179/PT-BRI-Persero-Cab-Kisaran-n-Tanah-luas-380-m2-dan-bangunan-SHM-No882-di-Desa-Teladan-KecTinggi-Raja-KabAsahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc9d148f78d-28271ucU-foto-5431791.jpeg
39,PT. BRI (Persero) Cab. Kisaran: m. Tanah kebun sawit luas 19.439 m2 (SHM No.883)  ,200000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543176/PT-BRI-Persero-Cab-Kisaran-m-Tanah-kebun-sawit-luas-19439-m2-SHM-No883.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc9c832b01c-82072eEl-foto-5431761.jpeg
40,"PT. BRI (Persero) Cab. Kisaran: l. Tanah kebun sawit luas 10.000 m2 (SHM No.693) di Desa Piasa Ulu Kec.Tinggi Raja, Kab.Asahan",110000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543170/PT-BRI-Persero-Cab-Kisaran-l-Tanah-kebun-sawit-luas-10000-m2-SHM-No693-di-Desa-Piasa-Ulu-KecTinggi-Raja-KabAsahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc9bf42be3c-45127C56-foto-5431701.jpeg
41,"PT. BRI (Persero) Cab. Kisaran: k. Tanah kebun sawit luas 20.000 m2 (SHM No.210) di Desa Bandar Pasir Mandoge, Kab. Asahan",175000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543167/PT-BRI-Persero-Cab-Kisaran-k-Tanah-kebun-sawit-luas-20000-m2-SHM-No210-di-Desa-Bandar-Pasir-Mandoge-Kab-Asahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc9b5b0ce52-86734dwK-foto-5431673.jpeg
42,"PT. BRI (Persero) Cab. Kisaran: j. Tanah luas 3.768 m2 bangunan (SHM No.785) di Desa Teladan Kec.Tinggi Raja, Kab.Asahan",100000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543163/PT-BRI-Persero-Cab-Kisaran-j-Tanah-luas-3768-m2-bangunan-SHM-No785-di-Desa-Teladan-KecTinggi-Raja-KabAsahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc9a75ee969-90265bnY-foto-5431631.jpeg
